cgpa,college_tier,python_skill,dsa_skill,ml_skill,web_dev_skill,coding_score,communication_score,aptitude_score,internships,projects,backlogs,resume_score,skill_score,placed,salary_lpa
8.65,2,1,0,1,0,25.3,7.1,71.3,1,4,0,75,2,1,63.96
7.29,1,1,0,0,1,4,5.7,52.5,0,3,0,47.2,2,1,57.67
7.56,2,1,1,0,1,47.6,8,85.8,0,1,0,60.2,3,1,76.5
9.61,3,1,1,0,0,56.8,7.9,52.6,1,5,0,83,2,1,70.19
7.62,2,1,0,0,0,96.1,8,96,0,1,0,35.9,1,1,47.22
7.53,1,1,1,0,0,67.8,7.3,60.8,1,3,0,65.3,2,1,72.55
9.17,3,1,0,0,1,6.2,4.6,49.8,1,6,0,77.9,2,1,66.39
8.24,3,0,0,0,0,94.2,8.7,67.7,2,4,0,65.1,0,1,54.48
6.57,3,1,0,0,0,34.2,6.6,89.9,0,6,0,56,1,1,44.88
8.67,3,1,1,0,0,4.5,5.3,40.9,1,5,1,71.6,2,1,54.74
8.08,3,1,0,1,1,74.8,7.4,54.8,1,6,0,96.9,3,1,68.94
8.46,3,1,0,0,0,57.8,6.2,89.4,2,6,1,81.5,1,1,40.94
5.78,2,1,0,1,0,18.3,4.8,74.6,2,5,0,77.4,2,1,86.84
7.66,3,0,1,0,0,65.6,9.8,73.7,2,5,0,81.8,1,1,49
8.47,2,1,0,0,1,4.7,5.9,66.3,2,2,0,66.2,2,1,60.54
6.98,2,0,0,1,0,41.9,5,92.8,1,6,0,69.7,1,1,42.6
5.25,2,1,0,0,0,9.1,5.9,42.6,2,4,0,71.6,1,1,38.38
6.19,1,0,1,0,0,25,7.3,56.5,3,6,0,87.3,1,1,41.56
9.83,3,1,1,0,1,80.5,9.7,64,2,3,0,96.9,3,1,85.75
6.52,2,0,0,1,0,49.7,9.5,86.6,0,1,1,45.7,1,1,42.72
5.26,1,0,0,0,0,83,9.7,58.3,0,6,1,63.4,0,1,35.56
7.87,2,1,0,0,0,78.7,5.8,42.4,1,5,0,57.5,1,1,46.2
7.25,3,0,1,0,0,75.2,4.3,69.6,1,3,0,49.8,1,1,39.16
6.48,1,1,1,1,0,40.8,4.8,50.3,2,6,0,96.4,3,1,58.47
9.48,1,0,0,0,0,67.2,9,80.4,2,2,0,58.6,0,1,38.73
7.23,2,1,1,0,1,2.4,6.6,56.7,0,5,1,70,3,1,86.49
6.47,3,0,1,0,1,10.3,4.8,98.7,1,5,0,65.9,2,1,59.04
5.01,1,1,0,0,0,94.3,5.9,79.7,1,5,0,59.8,1,1,45.36
9.98,1,0,1,0,0,2.8,7.7,88.4,2,4,1,74.8,1,1,45.78
9.03,3,1,1,0,0,2.5,6.2,72.8,2,6,1,92.2,2,1,72.83
8.92,2,1,1,0,1,61.4,7.5,55.2,2,3,2,85.8,3,1,72.5
9.51,1,1,0,0,1,92.4,6.8,69.9,0,3,0,57.7,2,1,68.43
6.78,1,0,0,0,1,95.8,7.4,70.9,0,1,0,38.9,1,1,40.6
7.4,1,0,0,1,1,40.5,4.5,43.9,2,3,1,66.8,2,1,83.05
6.58,3,0,1,0,0,69.3,8.2,85.2,2,6,3,80.5,1,1,50.38
6.54,3,1,1,0,0,55.1,7.1,56.9,0,5,0,62.2,2,1,78.19
9.47,2,0,1,1,1,77,6,96.5,1,5,0,78.6,3,1,61.19
6.98,2,1,1,0,1,25.1,4.7,75.1,3,2,1,83.8,3,1,68.99
5.53,2,0,1,1,0,98.6,4,76.8,1,6,0,67.6,2,1,66.32
5.76,3,1,1,0,1,75.5,7.5,89.7,0,3,1,71.7,3,1,72.38
6.62,1,1,0,0,1,80.2,6.8,65.4,3,6,0,100.2,2,1,55.56
5.43,3,1,0,0,0,64.4,6.3,43.3,1,3,0,56.4,1,1,46.15
7.21,1,0,0,0,0,21.8,9.6,68,1,5,0,68.4,0,1,42.45
8.13,2,1,0,0,1,76.4,7.1,53.6,1,5,0,72.7,2,1,82.97
5.57,3,1,1,1,1,52.5,6.7,59.8,1,1,0,71.8,4,1,80.06
6.79,1,1,1,1,0,38.2,7.3,44.6,0,1,0,55.2,3,1,80.96
5.11,2,1,0,1,0,96.3,4.7,69.4,0,4,0,57.1,2,1,77.63
5.36,2,0,0,1,1,24.1,9.2,89.8,0,1,0,55,2,1,67.09
6.36,3,1,0,0,0,18.1,9.7,93.4,1,6,0,79.3,1,1,40.12
6.98,2,0,0,1,1,90.7,9.9,52.5,1,3,1,75.6,2,1,76.27
5.99,1,0,0,0,1,25.5,6.8,42.6,1,3,0,56.1,1,1,45.29
5.52,1,0,1,0,0,71.4,6.2,47.5,0,1,0,28.8,1,1,44.61
7.98,1,1,0,1,1,57.2,5.1,56.1,0,2,0,55.9,3,1,78.84
5.44,1,0,1,0,0,40,8.9,40.8,1,1,0,49.6,1,1,41.32
8.54,1,1,1,1,1,1.9,8.4,52.5,0,3,0,77.5,4,1,70.06
9.3,2,1,1,0,1,76,5.9,64.6,0,5,2,70.7,3,1,69.73
6.97,2,0,1,1,0,20.7,7,58.7,1,6,0,82.4,2,1,78.91
9.06,2,1,1,0,1,14.3,7.9,78.5,0,1,0,58.6,3,1,74.19
9.38,3,0,1,1,1,14.7,8.1,96.7,1,1,0,71,3,1,72.66
5.89,3,0,0,0,1,23.6,9.7,92.3,0,6,1,65.4,1,1,45.83
6.26,3,1,0,0,1,47.5,9.1,63,0,3,0,63.7,2,1,71.28
8.97,3,1,1,1,0,46.9,8.2,95.3,0,4,1,70.7,3,1,53.83
8.4,1,1,0,0,1,29.8,8.7,63.6,0,6,2,73.3,2,1,76.06
8.93,1,0,1,0,0,45.8,5.5,85.1,1,2,1,44.6,1,1,38.45
6.88,3,1,1,1,0,55.4,7.1,56.9,2,5,0,92,3,1,60.27
9.01,2,0,0,0,0,86.1,9.2,40.6,2,2,0,60.7,0,1,46.96
8.91,2,1,0,1,0,53.5,9.2,59.6,3,3,0,96.6,2,1,74.71
7.69,1,0,0,0,0,36.3,6.6,98.6,2,3,0,50.9,0,1,36.72
6.49,3,0,0,1,0,63.5,4.7,44.2,3,5,0,82.7,1,1,41.95
6.44,1,1,0,0,0,69.1,5,58.6,1,6,0,64.1,1,1,38.86
8.97,1,0,0,1,0,26.1,9.8,84.1,1,3,2,60.8,1,1,42.47
6.91,1,1,0,0,0,14.6,9.6,95.1,2,2,2,72,1,1,49.02
8.1,3,1,1,0,0,42.6,9.8,79.5,1,4,0,81.4,2,1,55
6.01,3,1,0,0,0,84.9,6.4,54.7,2,4,2,65.8,1,1,43.55
7.73,2,1,1,0,0,16.6,9.5,59.7,1,1,0,58.5,2,1,76.67
6.57,3,1,0,1,0,48.7,8.1,55.7,1,5,0,83.5,2,1,75.99
8.63,1,1,1,1,1,60.1,6,72.7,0,6,0,83.5,4,1,63.58
6.78,3,1,0,1,0,20.4,5.8,84.9,1,3,2,64.6,2,1,75.67
7.63,2,1,0,0,0,20.6,4,42.4,3,5,0,80.4,1,1,41.48
8,1,1,1,1,0,34.2,7.9,44.1,2,6,0,107.1,3,1,74.88
7.92,2,0,1,0,0,68,5.6,89.7,2,5,0,73.2,1,1,40.25
6.61,2,1,1,0,0,95.3,8.3,95.8,1,6,0,88.1,2,1,70.86
5.29,1,0,1,1,1,58.3,4.7,47.3,2,6,0,95.8,3,1,62.2
9.47,2,1,0,1,1,86.2,5.9,91.1,0,6,0,80.1,3,1,95.59
8.07,2,0,1,0,0,10.6,9,54.4,0,6,1,65.8,1,1,43.5
7.01,1,1,0,1,0,94.4,5.5,46,1,4,0,67.3,2,1,73.37
6.83,2,0,1,1,1,86.5,7.6,82.1,0,3,0,65.7,3,1,70.03
9.82,3,1,1,0,1,93.3,7.5,47.6,1,4,1,79.1,3,1,90.29
6.58,1,1,1,0,0,29.8,7.8,49.3,1,4,0,74.6,2,1,74.13
7.53,2,1,1,0,0,97.7,5.1,66.7,1,2,0,59.7,2,1,87
9.65,3,0,1,1,0,38.7,5.7,58.3,3,2,0,75.5,2,1,86.15
9.25,1,1,1,0,0,59.3,6.9,48,0,4,0,56.3,2,1,68.84
7,2,0,1,1,0,59.8,8,65.2,2,1,0,66.6,2,1,88.64
8.75,2,0,1,1,0,36,7.2,83,1,6,0,86.3,2,1,88.66
5.34,2,1,0,1,0,82.6,7.3,43.3,3,5,0,96.9,2,1,65.44
7.57,2,1,1,0,0,7.5,6.3,89.2,0,2,0,44.4,2,1,68.48
8.92,3,0,1,1,0,53.6,6.9,63.4,2,1,1,65.6,2,1,90.43
7.74,1,1,0,0,0,95.2,8.9,82.5,1,2,0,52.5,1,1,46.17
6.29,1,0,0,0,1,94.5,6,74.3,3,1,0,67.4,1,1,49.04
9.71,1,1,0,0,1,74.9,5.3,92,3,1,1,66.9,2,1,73.18
5.16,1,0,1,1,0,70.5,5.1,85,0,3,0,51.8,2,1,85.74
9.32,2,0,1,1,0,71.8,6.2,45.5,1,1,1,51,2,1,55.26
9.48,2,1,0,0,0,68.8,5.6,84.2,0,4,1,43.2,1,1,40.84
8.56,2,0,1,0,1,52.2,7.8,87.2,1,1,1,59.5,2,1,51.74
8.7,1,0,1,0,1,46,5.3,48,3,3,0,80.7,2,1,89.92
8.58,2,0,1,1,0,50.9,4.8,92,2,3,1,66.8,2,1,73.49
8.89,3,1,1,0,1,31.3,4.4,82.1,0,4,0,60,3,1,69.13
9.08,2,1,1,1,0,10.4,7.4,71.9,1,1,1,67.9,3,1,74.97
9.45,3,1,1,0,0,23.3,7,58.6,0,4,0,58.6,2,1,88.2
8.54,2,0,1,1,1,11.4,7.9,90.1,1,4,0,86.8,3,1,53.78
8.25,3,1,1,0,0,11.2,4.3,55.4,0,5,0,56.8,2,1,54.19
7.86,2,1,1,0,0,46.4,8.7,76.2,1,6,0,88.4,2,1,70.77
